Plot,Title,imdbVotes,Poster,imdbRating,Genre,imdbID,Year,Language
"In the 1960s, Richard Kuklinski is working as a porn film lab tech until his mob bosses persuade him to change his career into that of a contract killer. For years, Kuklinski gains a reputation for cold blooded professionalism even as he raises a family who are kept in the dark about his true career. Unfortunately, mob politics ultimately forces him to secretly work independently with the psychopathic Robert 'Mr. Freezy' Pronge. As much as Kuklinski tries to keep his lives separate, circumstances and his own weaknesses threaten a terrible collision as the consequences of his choices finally catch up to him.",The Iceman,1859,http://ia.media-imdb.com/images/M/MV5BNDQyMjM5MTc2OF5BMl5BanBnXkFtZTgwMzg1NTMxMjE@._V1_SX300.jpg,59,"Biography, Crime, Drama",tt1491044,2012,English                  
The sunrise blinds the early risers of the city of New York. Morning brings the smell of a fresh scent in the cold air as the gray sky is lifting with a scatter of small rain drops...,Broken Ledge,2718,http://ia.media-imdb.com/images/M/MV5BMTcyMzYzNDU3Nl5BMl5BanBnXkFtZTcwMzczNTk3OQ@@._V1_SX300.jpg,87,Drama,tt2508268,2012,English                  
"A mysterious traveler infiltrates a dangerous underground organization. Gabriel Black, a traveler, journeys into San Antonio where he encounters The Wendagora, a spirit, who leads him to a mysterious coffeehouse, The Pink Iguana, where he meets Isis, an underground goddess, whose dangerous 'father' owns a private school for the arts which makes peculiar 'sponsored' movies. The traveler infiltrates this strange underground society from which, when discovered, he must flee for his life. A film written, produced, and directed by Ross Wells, lensed on location in San Antonio and Galveston, Texas; Cloudcroft, New Mexico; and Columbus, Georgia.",In the Realms of Madness,2718,http://ia.media-imdb.com/images/M/MV5BNzA2NzE3MjI3Ml5BMl5BanBnXkFtZTcwNDQ0Mzc0Nw@@._V1_SX300.jpg,87,"Drama, Horror",tt2248841,2012,English                  
"In both its story on and off the screen, 'Flaneurs' is a film about cities and city life. Made for a micro-budget of less than £1,500 ($2,400), this completely independent feature film was ...",Flaneurs,2718,N/A,87,"Drama, Romance",tt2364671,2012,English                  
Hailey is in an unhappy marriage but she develops a friendship with a writer in a coffee shop. When she discovers her husbands affair she takes action.,The Start of Something Good,2718,N/A,87,"Drama, Romance",tt2331062,2012,English                  
Yannick has to deal with the haunting by himself. He provides a plan to try to solve the more of the unknown mystery.,True Storys of the Ghost House 3 the Demon Phenomenon,2718,N/A,87,Horror,tt3098520,2012,English                  
"Seduced by the haunting beauty of a remote marsh, a lone photographer finds himself at the center of a deadly mystery.",White Wind,2718,N/A,87,"Drama, Mystery",tt2555620,2012,English                  
A psychotic Iraq War veteran teaches his younger brother the art of being a calculated killer in this found footage psychological thriller of two brother's descent into madness in post Katrina New Orleans.,Thelema the Equinox Diaries,2718,N/A,87,"Drama, Thriller",tt2443106,2012,English                  
"A politician receives a message that his mistress has been abducted. On his way to meet with the kidnappers, he has a conversation with God.",Home Minister,2718,N/A,87,Drama,tt2923826,2012,English                  
"A plot to assassinate the Vice President takes a wrong turn when the hit man, Sphinx, fails to show up and an unsuspecting cab driver gets caught in a tangled web of deception and betrayal.",Placebo Effect,1752,http://ia.media-imdb.com/images/M/MV5BMTU5Njg1NzAyNl5BMl5BanBnXkFtZTYwNjIwNDc2._V1_SX300.jpg,52,"Crime, Mystery, Thriller",tt0163154,1998,English                  
"Long on the Island is a psychological thriller in the tradition of HP Lovecraft. With an original screenplay, Long on the Island launches a fertility goddess into a haunting place where the...",Long on the Island,2718,N/A,87,"Fantasy, Horror",tt2375263,2012,English                  
"Over the course of a single night, Dave and Anna allow their marriage to crumble beneath the pressure of repressed anxieties, deception, and the questions they're both afraid to ask.",I Did,2718,N/A,87,"Drama, Family",tt2388672,2012,English                  
"""Collaging Film"" is a series of shorts dating back to 2007. Published NY artist and writer, Stephen Mead, started out fairly bare-bones when beginning to make films, an experimentation which he considered a sort of folk art. Eventually Stephen transitioned from the use of subtitles in his work to creating his own mp3s for soundtracks and effects, finally interweaving actual footage amid paintings and digitized images in hopes of creating a more engaging experience for the viewer. As a Folk Artist, mainly using Windows Movie Maker, a program on many-a-computer, Stephen enjoys the fact that most anyone can use this program to make films of their own. He also likes knowing that these films are ""low-tech Independents"", not subject to Studio Backing (!) and meant to be viewed on the small screens of televisions or computer monitors. Stephen feels this creates for a more intimate viewing experience that is perfect for the variety of themes found in his work. This second disc of Stephen Mead's shorts includes his music videos for the CD song cycle, ""Whispers of Arias, Volumes 1 and 2"". These include ""Rings"", a remembrance piece for 911, and ""Patroclus"", a homage to same-sex love. To round out the collection is ""Our Collage Life"" created for the ""It Gets Better"" project.",Collaging Film,2718,N/A,87,Animation,tt4416372,2012,English                  
Hank lives the quiet life until a mysterious inheritance turns quiet into strange. A rhythmic character study propelled by a Jazz score.,Welcoming Departure,2718,http://ia.media-imdb.com/images/M/MV5BMjE0OTU2NTg4MV5BMl5BanBnXkFtZTcwOTcxNDg4OA@@._V1_SX300.jpg,87,"Comedy, Drama",tt2235809,2012,English                  
"The Luckiest Girl on the Lower East Side takes place in the Lower East Side of New York City and revolves around Sarina, a young French-Algerian woman who finds herself at the crossroads fighting for her life. The film blends honesty and artistic interpretation through movement, colors, edits, and sound to create a more genuine film experience. Music from NYC experimental/punk/no-wave legend SUICIDE, and upcoming bands such as AVA LUNA, TYBURN SAINTS, hip-hop artists POETIC REPUBLIC, and jazz musician Randy Napoleon.",The Luckiest Girl on the Lower East Side,2718,N/A,87,Drama,tt1876494,2012,English                  
"Less Lost, is the fictional story of a young man named Luke who is medically retired after serving in the US Army. Although his physical injuries are healing with time, the physiological effects associated with combat related PTSD only worsen. When his condition becomes a threat to his wife and child, he is faced with an ultimatum: get better or lose them. With the help of a new friendship with a fellow veteran named Darien, Luke faces an important crossroads where he must choose to remain in the past or move forward into the future.",Less Lost,1114,http://ia.media-imdb.com/images/M/MV5BMTk3MTg2NDQ3Nl5BMl5BanBnXkFtZTcwMjA5NzIyOA@@._V1_SX300.jpg,68,"Drama, War",tt2259946,2012,English                  
"High school student Aidan loses his girlfriend to a horrific accident and struggles to put the pieces together all the while lost in a music demo tape she left behind, haunting him with powerful memories.",Still Here,2302,N/A,53,Drama,tt2275650,2012,English                  
"Best friends Sam and Mike go out on a bender after Mike's long-time girlfriend Judy leaves him, for good this time. Meanwhile, Sam looks back on his own relationship, with the beautiful singer-songwriter Maria, and realizes how his actions may have been pushing her away. The Hedgehog Dilemma is a naturalistic, improvised film about communication, and the tragic inability of most humans to effectively connect with another person on a deeper, emotional level. Through Sam and Mike's relationships, we come to understand a bit about being young in the city, and the isolation faced by Generation Y.",The Hedgehog Dilemma,2718,http://ia.media-imdb.com/images/M/MV5BMTU1NDI3MTM3OF5BMl5BanBnXkFtZTcwNDQ1NjEzOQ@@._V1_SX300.jpg,87,"Drama, Romance",tt2505274,2012,English                  
"Filmed and produced by Australian director Shaun Wilson, 51 Paintings spans over 6 years and 3 countries to bring to life an original and extraordinary slow media cinematic experience based on characters located in German medieval painting.",51 Paintings,2457,http://ia.media-imdb.com/images/M/MV5BMTQyNzU2MTM3M15BMl5BanBnXkFtZTcwMDkyMjIzOA@@._V1_SX300.jpg,61,Drama,tt2318982,2012,English                  
"Capitalists, revolutionaries, and the people who love them.",The Adventures of Paul and Marian,2718,N/A,87,"Comedy, Musical, Romance",tt1949593,2012,English                  
"Various people who lost loved ones during 9-11 come to discover healing during the ten-year anniversary. Their lives intersect and emotions intensify until an unexpected cathartic event harkens a call for them to embrace humanity. Pop-Pop, a grizzled retired fireman; his fireman son Ryan, who suffers from the loss of his wife in the World Trade Center; Adora, the bitter socialite who mentally tortures her guilt-plagued husband Frank after the death of their fire-fighting son; survivor Mayako the grief counselor and her feisty office manager Melani, who lost a child; Yves who raises a glass once a month at Mary's Place with shell-shocked reporter Colby to cope with memories of devastation; and bar owner Mary who lost a sister at the Pentagon.",Above the Fire,2718,http://ia.media-imdb.com/images/M/MV5BMTUzNzc5NjM4Ml5BMl5BanBnXkFtZTcwOTM3MjMxOA@@._V1_SX300.jpg,87,Drama,tt2231544,2012,English                  
"The Girl Who Lived is a visually stunning exploration through the lives of five young characters in war-torn Europe. Stylistically unique; the film is inspired by the true account of a young girl's survival in the Gas Chambers of Auschwitz Birkenau. The film uses ritual, mythology and fairy tale to present a dream-like journey through some of the darkest themes of human history. In a series of episodic stories, we are shown a picture of the Holocaust as a collective enterprise of persecution and extermination. The Girl Who Lived is a visceral, confronting, and emotive story, told with great beauty and dreamlike symbolism.",The Girl Who Lived,2718,http://ia.media-imdb.com/images/M/MV5BMTM1NTI1NzEzNV5BMl5BanBnXkFtZTcwMTgyMDAyNw@@._V1_SX300.jpg,87,Drama,tt2106694,2012,English                  
The rebellious daughter of divorced Dominican parents discovers her family is having an intervention in her honor. It's not exactly how she planned to spend the weekend.,The Last Intervention,2105,http://ia.media-imdb.com/images/M/MV5BMTM5NzYyODY4M15BMl5BanBnXkFtZTgwNzYzNzA2MDE@._V1_SX300.jpg,53,"Comedy, Drama, Family",tt2366001,2012,English                  
"Three young men who have lost hope for a future, find a bond with each other and risk everything for a better life. Based on a true story.",Exit 727,1829,http://ia.media-imdb.com/images/M/MV5BNTc2NTUyODMzNV5BMl5BanBnXkFtZTcwOTA2MDMzNw@@._V1_SX300.jpg,68,"Action, Crime, Drama",tt1806905,2012,English                  
A young nurse is pressured to get married and have children. Her first and only boyfriend of ten years makes a hilariously inappropriate Internet video. A gay friend gets dumped for ...,Sexually Frank,2302,http://ia.media-imdb.com/images/M/MV5BMjI2NTcyMDQ4M15BMl5BanBnXkFtZTcwMTMxOTExNw@@._V1_SX300.jpg,69,"Comedy, Drama",tt2015482,2012,English                  
The story of a young girl in North London whose life changes after witnessing a violent attack.,Broken,2494,http://ia.media-imdb.com/images/M/MV5BMTc3NTMzNDY4NV5BMl5BanBnXkFtZTgwMzQxNTkyMDE@._V1_SX300.jpg,63,Drama,tt1441940,2012,English                  
"A remorseful enforcer in hiding is forced back into the life he left behind in order to keep his new family safe. An abused young mother plods through her dysfunctional life, dwelling on a decision made years ago. Now after witnessing the murder of her best friend, she must navigate through the dangerous obstacles brought on by what she's seen. And finally a women hating, alcoholic who inadvertently sends a young girl to her death. Suddenly, he becomes the target of a vengeful mob boss who may have more than just revenge as motive The film features an immensely talented cast including Andre Davis, Susan Wynn Lunning, Rebekah DeWild, and Bill Blank. It also contains a beautiful soundtrack produced and preformed by cinematic composer Rich Cantrell. The film was produced by Aleksey Solodov. Thor Moreno writes and directs this thought provoking and violent thriller, woven through a series of vignettes. This film has adult themes, strong language, and strong images of violence. It is intended for mature audiences over 18.",I Think I Just Saw the Devil,2105,http://ia.media-imdb.com/images/M/MV5BMTY1MDY0MDUyOV5BMl5BanBnXkFtZTcwOTUzNTQ3Nw@@._V1_SX300.jpg,68,"Crime, Drama, Thriller",tt2302649,2012,English                  
"In 1919, Hart Crane said of Sherwood Anderson's Winesburg, Ohio: ""America should read this book on her knees. It is a chapter in the Bible of her consciousness."" The Last Soul on a Summer Night is a contemporary reinterpretation of the antique narrative with an African American cast and a dash of ecstatic reality. This critically acclaimed adaptation of one of the most highly regarded books in the history of American literature, tells the story, almost in mythical fashion, of lost and lonely souls taken to a Chicago Heights boarding house where layfolk and churchfolk alike struggle with their personal demons. It is a journey of self discovery where a man takes a truth to himself...",The Last Soul on a Summer Night,1887,http://ia.media-imdb.com/images/M/MV5BMTQ5OTQ5MjcwNV5BMl5BanBnXkFtZTgwOTIzNTQ2NDE@._V1_SX300.jpg,64,"Drama, Mystery",tt2221484,2012,English                  
"An ironic story that takes a Border Patrol Agent, Angela Rubio through many obstacles and challenges to avoid Immigration. Angela gets hit on the head by a couple of drug smugglers and and is left unconscious. She is helped by an illegal immigrant Don Pablo, who is headed back to Mexico because of lack of work in the U.S. Angela not knowing who she or remembering anything from her past is convinced by Pablo to go back to Mexico. In mist of confusion she thinks she is an Illegal alien. It only gets more confusing when she and Don Pablo cross back to the U.S. in search of a better life and start running from the U.S. Border Patrol.",Maria Del Norte,2718,N/A,87,"Action, Adventure, Drama",tt2412986,2012,English                  
"A student filmmaker goes through the trials and tribulations of his senior thesis, all the while learning that his life on screen is not so different from the one off.",Life in Parallel,1174,http://ia.media-imdb.com/images/M/MV5BMjA3MzI4Nzg5MF5BMl5BanBnXkFtZTgwNDk1NjA2MDE@._V1_SX300.jpg,59,"Comedy, Drama",tt2187862,2012,English                  
"After his parents are killed in a tragic accident, Chukwuma, an Alaskan-raised Nigerian, is separated from his younger sister, Chidinma, who moves to Nigeria with their Uncle until she becomes of legal age. Two years later, the siblings reconnect to find their estrangement has created new personal and cultural frictions in ways that bring them closer to each other and their roots, as well as help them define what it means to be a Nigerian in Alaska.",alaskaLand,2718,http://ia.media-imdb.com/images/M/MV5BODAyMTgwMjAwN15BMl5BanBnXkFtZTgwMjczNDE0MDE@._V1_SX300.jpg,87,Drama,tt2008693,2012,English                  
"INCOMPLETE is a captivating story of one woman's desire to make her family complete through love desire and deception. INCOMPLETE is a story of trust, of betrayal, and the fine line that divides the two when secrets are hidden between husband and wife, and perception is shared with a stranger.A high energy Romantic Drama with an Emotional Roller Coaster of Ride!",Incomplete A Story of Love Desire and Deception,2718,N/A,87,"Drama, Romance",tt2461218,2012,English                  
"Comedian and new father Kevin Nealon muses on his anxieties about being a parent, chimpanzees, celebrity crop-dusting and shrink-wrapped enemas.",Kevin Nealon Whelmed But Not Overly,2681,http://ia.media-imdb.com/images/M/MV5BMTQ4MzAxNTUzM15BMl5BanBnXkFtZTgwNjg4NzI3NDE@._V1_SX300.jpg,52,Comedy,tt2261735,2012,English                  
"A film that takes place over one wild day and night of crisscrossing events. Described as if 'Neil Simon had written 'Leaving Las Vegas', the film centers on two offbeat characters, Samantha 'Sam' Martin, a Beverly Hills mother, 5 times divorced alien abductee and her gardener's son, Samuel 'Norm' Normandie, as they spend an evening of drinks and confessions.",Spinning Dry,2718,N/A,87,"Comedy, Drama",tt2085928,2012,English                  
"Having escaped persecution in Iran, Leila lives in Vancouver as a successful photographer. The return of her long lost love forces her to come to terms with the legacy of her past.",Under the Apple Box,2718,http://ia.media-imdb.com/images/M/MV5BMTU2ODEwMjA1MF5BMl5BanBnXkFtZTcwMzA1NzEyOQ@@._V1_SX300.jpg,87,Drama,tt2578668,2012,English                  
"Romantic comedy which has Barney Lincoln and Angel McGinnis as a pair of amorous adventurers in the gambling places of London and the Riviera. Barney Lincoln is a rambling gambling man who scores sensational wins at poker and chemin de fer because he has succeeded in marking the original plates for the backs of all the playing cards manufactured in a plant in Geneva and used in all the gambling joints in Europe. In his gambling depredation, Barney is spotted by Angel McGinnis, the daughter of a Scotland Yard Inspector 'Manny' McGinnis on the lookout for a man to do a job. The inspector enlists Barney's help in playing poker with a shady London character whom Scotland Yard wants to force to financial ruin.",Kaleidoscope,1837,http://ia.media-imdb.com/images/M/MV5BMjA2NTUwMjkyN15BMl5BanBnXkFtZTYwNjcwNzg5._V1_SX300.jpg,50,"Comedy, Crime",tt0060581,1966,English                  
"On the eve of his dreaded 30th birthday Patrick's life is paved with broken dreams. He is losing his career, his apartment and to top it off, the love of his life is dating his cousin. The bad luck keeps on coming, until a sudden series of accidental, felonious and even magical events change the course of his destiny forever. Now all he has to do is deal with the body...",Indie Jonesing,2718,N/A,87,"Action, Comedy, Romance",tt1686469,2012,English                  
"A Puerto Rican television network awards a young native actress her own show, documenting her quick rise to success in NYC. Her only problem: She's white.",White Alligator,2302,http://ia.media-imdb.com/images/M/MV5BMTUxNDU3NDk5M15BMl5BanBnXkFtZTgwMDYxNTY2MTE@._V1_SX300.jpg,60,Comedy,tt2435166,2012,English                  
Collective screening of the Academy Award nominated short films from the Animation category for 2012.,The Oscar Nominated Short Films 2012 Animation,1730,http://ia.media-imdb.com/images/M/MV5BMTgwNTM4MjA4M15BMl5BanBnXkFtZTcwOTY3MDc4OA@@._V1_SX300.jpg,58,Animation,tt2513552,2012,English                  
"Something is very wrong in the Southwestern desert! It starts when rogue rattlesnakes attack two young boys, and it goes downhill from there. The local authorities summon herpetologist Dr. Tom Parkinson to investigate why the snakes are being such jerks. With the help of photographer and fledgling feminist Ann Bradley, the two of them embark on a haphazard investigation - and romance. The hunt leads them to a nearby army base and its uncooperative commanding officer, Colonel Stroud. But when marauding rattlers kill two soldiers, the medical officer on the base can no longer keep silent and reveals the terrible secret, unleashing a chain of events, which lead to all kinds of 1976 action, putting an end to the deadly rattlers. Maybe... Join the Cinematic Titanic crew as they riff this horribly great, cheesy movie of the past!",Cinematic Titanic Rattlers,2302,N/A,51,Comedy,tt3492084,2012,English                  
"Boss Peaches wants her revenge. Why? Because nobody dumps Boss Peaches... not even Bruiser Bom-Bash. Unfortunately for her, Peaches will have to get in line with the rest of them. Ryuken, the loyal fan-boy of Punchy McBritches, will stop at nothing to regain Punchy's honor after her recent loss against Bruiser. But, will his past catch up to him before he gets his chance to take out Bruiser Bom-Bash and claim the title of the ""Toughest in Town"" for himself? Or will Peaches beat him to the punch and steal his only chance for glory?",Slug Street Scrappers Rise of Ryuken,2209,http://ia.media-imdb.com/images/M/MV5BMjIxMTI3ODYwNV5BMl5BanBnXkFtZTcwNDk2NDU4OQ@@._V1_SX300.jpg,73,"Action, Comedy",tt2257144,2012,English                  
"It is 1897 and a city is in turmoil. In the smoky, dirty depths of middle England, the people are terrified. The once bustling streets of Stoke are empty, the silence is only broken by the whispers of devils, demons and vampires. Poor souls are being taken, vanishing without a trace. When the local doctor is snatched away, word travels to his brother, a young vet by the name of Newlyn Howell. Spurred on to discover the truth by the enigmatic Alexander Pyre, Newlyn's dark adventure into the depths of Victorian Stoke begins... and what he discovers is beyond belief.",Blood and Bone China,2354,N/A,75,Drama,tt1898178,2011–,English                  
A clumsy local political campaign fights to avoid damage from an enigmatic Internet rumor spread about their candidate 5 days before the election.,Democracy at Work,1174,http://ia.media-imdb.com/images/M/MV5BMTA2ODcwMTgxMDVeQTJeQWpwZ15BbWU3MDUwNjY3NTg@._V1_SX300.jpg,50,Comedy,tt2072078,2012,English                  
"Racial family conflict results in a horrific car accident that leaves Marcus Wells a successful African American executive, proud husband and father--alone, in a secret world of guilt and despair, while he cares for his wife's incapacitated grandmother. Displaced from city to farm life, Marcus faces his darkest fears, his wife's vengeful grandmother, and the truth about himself.",The Man in the Silo,1421,http://ia.media-imdb.com/images/M/MV5BMTg0MjEyMDk2M15BMl5BanBnXkFtZTcwNTczMzk2MQ@@._V1_SX300.jpg,53,Drama,tt0932667,2012,English                  
"Delivering the Goods is a ""follow your dreams"" comedy about Steve, a first generation Italian-American wishing to become a head chef against his father's blue-collar judgment. Unfortunately, Steve doesn't have a culinary degree, so his dream quickly hits a brick wall and in order to pay the bills, he takes a job with a package delivery service. Initially embarrassed by his new 9-to-5 existence, Steve soon learns there is more than one way to pursue your dreams and the answers to life's toughest questions are found when you stop looking for them.",Delivering the Goods,1730,http://ia.media-imdb.com/images/M/MV5BNTc3Mjg3NjA2N15BMl5BanBnXkFtZTgwOTc5NDA2MDE@._V1_SX300.jpg,53,Comedy,tt1702435,2012,English                  
"Tim Sutton's debut feature, likened to films by Gus Van Sant and Pedro Costa, follows a laconic teenager (Max) who moves from an idyllic lakeside town to his father's home in arid suburban Arizona. With mesmerizing imagery of hot summer bike rides and cool lake-bound dives, Pavilion captures the ephemerality and reverie of youth and the fragility of adolescent friendships. A haunting score by the Sea and Cake's Sam Prekop shadows the storyline, echoing its secrets and shouldering its mysteries.",Pavilion,1798,http://ia.media-imdb.com/images/M/MV5BODE2MTMwOTg0N15BMl5BanBnXkFtZTgwMjIzNzA2MDE@._V1_SX300.jpg,53,Drama,tt2347479,2012,English                  
"Hopeless romantic Thompson finally finds a meaningful relationship with Lola, but what he doesn't know is that she lives on the streets.",In Return,1730,http://ia.media-imdb.com/images/M/MV5BMjA4NDUxMDUyNV5BMl5BanBnXkFtZTcwOTYwMzY0OA@@._V1_SX300.jpg,68,"Comedy, Drama, Romance",tt2168508,2012,English                  
"Sandy, an illegal immigrant from France, has been working Manhattan's streets for three years. After a long days work, she is asked by her last client of the day if she can tell him her story.",My Name Is Sandy,2718,http://ia.media-imdb.com/images/M/MV5BMjI5NTc3NjMwOV5BMl5BanBnXkFtZTgwMTQ1OTMwMDE@._V1_SX300.jpg,87,Drama,tt1522186,2012,English                  
"Neal is knee deep in a quarter life crisis and trying to get over a traumatic break up by doing what anyone would do, tricking women on the Internet. His plan is going amazingly well until he meets Jane, who just may be as devious and damaged as he is.",Love Sex and Missed Connections,1162,http://ia.media-imdb.com/images/M/MV5BNzE1MjU4MDQzOF5BMl5BanBnXkFtZTcwNDE2NTU3OQ@@._V1_SX300.jpg,53,Comedy,tt1950264,2012,English                  
"A skateboarder witnesses his best friend get killed by a local drug lord, and is faced with paranoia wondering if he's next, all while struggling to cope with the death of his friend and tries to settle the score.",Skate Proof,1201,http://ia.media-imdb.com/images/M/MV5BMjAxNzQwNjc4Ml5BMl5BanBnXkFtZTcwMDI2OTI3Nw@@._V1_SX300.jpg,52,Crime,tt2375517,2012,English                  
